score,feature
score_8,Albumin/Globulin Ratio
score_8,Potassium
score_8,Eosinophils
score_8,Absolute Basophils
score_8,LDL-Cholesterol
score_8,ALT
score_8,Triglycerides
score_8,Sed Rate
score_8,Absolute Monocytes
score_8,RDW
score_8,Neutrophils
score_8,Alkaline Phosphatase
score_8,"Cholesterol, Total"
score_8,Sodium
score_8,Creatinine
score_8,Platelet Count
score_8,eGFR African American
score_8,eGFR non-African American
score_8,Absolute Lymphocytes
score_8,Albumin
score_8,Globulin
score_8,TSH
score_8,MCV
score_8,MCH
score_8,C-Reactive Protein
score_9,Chol/HDLC Ratio
score_9,Urea Nitrogen (BUN)
score_9,"Bilirubin, Total"
score_9,Non HDL Cholesterol
score_9,MPV
score_9,Albumin/Globulin Ratio
score_9,Potassium
score_9,Eosinophils
score_9,Absolute Basophils
score_9,LDL-Cholesterol
score_9,ALT
score_9,Triglycerides
score_9,Sed Rate
score_9,Absolute Monocytes
score_9,RDW
score_9,Neutrophils
score_9,Alkaline Phosphatase
score_9,"Cholesterol, Total"
score_9,Sodium
score_9,Creatinine
score_9,Platelet Count
score_9,eGFR African American
score_9,eGFR non-African American
score_9,Carbon Dioxide
score_9,Glucose
score_9,Calcium
score_9,White Blood Cell Count
score_9,Hemoglobin
score_9,Absolute Lymphocytes
score_9,Lymphocytes
score_10,Chol/HDLC Ratio
score_10,Urea Nitrogen (BUN)
score_10,"Bilirubin, Total"
score_10,Non HDL Cholesterol
score_10,MPV
score_10,Albumin/Globulin Ratio
score_10,Potassium
score_10,Eosinophils
score_10,Absolute Basophils
score_10,LDL-Cholesterol
score_10,ALT
score_10,Triglycerides
score_10,Sed Rate
score_10,Absolute Monocytes
score_10,RDW
score_10,Neutrophils
score_10,Alkaline Phosphatase
score_10,"Cholesterol, Total"
score_10,Sodium
score_10,Creatinine
score_10,Platelet Count
score_10,eGFR African American
score_10,eGFR non-African American
score_10,HDL Cholesterol
score_10,Chloride
score_10,TSH
score_10,MCH
score_10,MCHC
score_10,Absolute Neutrophils
score_10,C-Reactive Protein
score_11,Chol/HDLC Ratio
score_11,Urea Nitrogen (BUN)
score_11,"Bilirubin, Total"
score_11,Non HDL Cholesterol
score_11,MPV
score_11,Albumin/Globulin Ratio
score_11,Potassium
score_11,Eosinophils
score_11,Absolute Basophils
score_11,LDL-Cholesterol
score_11,ALT
score_11,Triglycerides
score_11,Sed Rate
score_11,Absolute Monocytes
score_11,RDW
score_11,Neutrophils
score_11,Alkaline Phosphatase
score_11,"Cholesterol, Total"
score_11,Sodium
score_11,Creatinine
score_11,Platelet Count
score_11,eGFR African American
score_11,eGFR non-African American
score_11,HDL Cholesterol
score_11,Albumin
score_11,Globulin
score_11,TSH
score_11,Absolute Eosinophils
