score,feature
score_1,% DN RO- CCR6- INFg+ TNFa- d1
score_1,% CD8+ MAIT INFg+ GzA- d1
score_1,% CD4+ RO+ INFg+ GzA- d1
score_1,% CD8+ RO- CCR6- total INFg+ d1
score_1,% CD8+ INFg+ GzA+ d1
score_1,CD8+ DN+ MAIT % RO+ CD27+ d0
score_1,%CD8+ MAIT d6
score_1,% CD8+ M CCR4+ CXCR3+ d0
score_1,% DR+ CD3- d0
score_1,% CD19+ CD3- CD27+ IgG- d0
score_1,% CD8+ total INFg+ d6
score_1,% DN MAIT d6
score_1,% CD8+ M CCR6+ CXCR3+ d0
score_1,% CD3- CD19- CD14+ CD16+
score_1,% CD4+ RO+ INFg- GzA+ d1
score_1,%CD4+ MAIT d0
score_1,CD8+ % RO+ CD27+ d0
score_1,CD8+ % RO- CD27- d0
score_1,CD8+ % RO+ CD27- d0
score_1,CD8+ DN+ MAIT % RO- CD27- d0
score_1,NK % CD56lo CD16-
score_1,NK % CD56+ CD16+
score_1,% CD4+ RO+ CCR6+ d6
score_1,% CD4+ RO+ CCR6+ total INFg+ d6
score_1,% CD4+ INFg+ TNFa- d6
score_1,% CD4+ RO+ CCR6+ CD161+ IL-17- INFg+ d6
score_1,% CD8+ total IL-17+ d6
score_1,% CD8+ IL-17+ IL-22- d6
score_1,% CD8+ MAIT IL-17- INFg+ d6
score_1,% CD8+ RO- Va7.2- total TNFa+ d6
score_1,% CD4+ RO+ CCR7- d0
score_1,% CD4+ M total CCR4+ d0
score_1,% CD4+ M CCR6- CXCR3+ d0
score_1,% CD4+ M CD25+ CD27+ d0
score_1,% CD4+ RO+ CCR6+ d0
score_1,% CD8+ RO+ CCR7- d0
score_1,% CD8+ M CCR4- CXCR3+ d0
score_1,% CD8+ M total CCR6+ d0
score_1,% CD4+ RO+ CCR6+ INFg- IL4+ d1
score_1,% CD4+ RO+ CCR6+ INFg+ IL4- d1
score_1,% CD4+ RO+ CCR6- INFg+ TNFa+ d1
score_1,% CD4+ RO+ CCR6- total INFg+ d1
score_1,% CD4+ RO+ INFg+ TNFa+ d1
score_1,% CD4+ RO+ total TNFa+ d1
score_1,% CD4+ RO+ IL-22- IL-17+ d1
score_1,% CD4+ RO+ INFg- GMCSF+ d1
score_1,% CD4+ RO+ FOXP3+ INFg- TNFa+ IL-17- d1
score_1,% CD8+ INFg+ TNFa- d1 P8
score_1,% CD8+ RO+ CCR6- INFg+ TNFa- d1
score_1,% CD8+ RO+ CCR6- total TNFa+ d1
score_1,% CD8+ RO- CCR6- total TNFa+ d1
score_1,% CD8+ MAIT INFg- TNFa+ d1
score_1,% CD3- CD19- DR+ CD14+ d0
score_2,% DN RO+ CCR6- INFg- TNFa+ d1
score_2,% Dcs CD1c+ d0
score_2,% CD4+ RO+ CCR6+ total IL-17+ d1
score_2,% CD4+ RO+ CCR6+ INFg- IL-17+ d1
score_2,CD3+ gdTCR+ CD3hi
score_2,% CD4+ RO+ CCR6- IL-17+ INFg+ d6
score_2,total % CD4+ d0
score_2,Total gd Cells (gdTCR CD3hi + CD3lo)
score_2,% CD4+ RO+ CCR6+ IL-22+ IL-17+ d1
score_2,% CD8+ IL-17+ IL-22+ d6
score_2,% CD4+ RO+ CCR6- INFg+ TNFa- d1
score_2,% viable CD3- CCR6- GzA+ INFg+ d1
score_2,% CD8+ RO+ Va7.2- total TNFa+ d6
score_2,% CD4+ RO+ CCR6- total IL-17+ d6
score_2,% CD4+ M CXCR5+ CCR7- d0
score_2,% CD4+ RO+ INFg+ TNFa- d1
score_2,% CD4+ RO+ CCR6- IL-17+ INFg- d6
score_2,% CD8+ MAIT INFg+ GzA+ d1
