score,feature
score_0,K11312
score_0,K19355
score_0,K08981
score_0,K22130
score_0,K08302
score_0,K05367
score_0,K02408
score_0,K15725
score_0,K14623
score_0,K07075
score_0,K01893
score_0,K02834
score_0,K07053
score_0,K02054
score_0,K03043
score_0,K03519
score_0,K02994
score_0,K17076
score_0,K02072
score_0,K01771
score_0,K10561
score_0,K03366
score_0,K20038
score_0,K05770
score_0,K01892
score_0,K02614
score_0,K11261
score_0,K01081
score_0,K06996
score_0,K00100
score_0,K02401
score_0,K01729
score_0,K07029
score_0,K05946
score_0,K02379
score_0,K07798
score_0,K02338
score_0,K17108
score_0,K02939
score_0,K03337
score_0,K23508
score_0,K03215
score_0,K01305
score_0,K02747
score_0,K00561
score_0,K13281
score_0,K21828
score_0,K00939
score_0,K06281
score_0,K19147
score_0,K01706
score_0,K00342
score_0,K02233
score_0,K19302
score_0,K02746
score_0,K01666
score_0,K05838
score_0,K07638
score_0,K00991
score_0,K07101
score_0,K02404
score_0,K08986
score_0,K01698
score_0,K04567
score_0,K01998
score_0,K00836
score_0,K16926
score_0,K19701
score_0,K02236
score_0,K21405
score_0,K06282
score_0,K20452
score_0,K02052
score_0,K22226
score_0,K04518
score_0,K01139
score_0,K02006
score_0,K01971
score_0,K01814
score_0,K13829
score_0,K07078
score_0,K00123
score_0,K03481
score_0,K01153
score_0,K20487
score_0,K02020
score_0,K03101
score_0,K18785
score_0,K21030
score_0,K09137
score_0,K15531
score_0,K01641
score_0,K06203
score_0,K06333
score_0,K00869
score_0,K02082
score_0,K01751
score_0,K02589
score_0,K02961
score_0,K02473
score_0,K21636
score_0,K04069
score_0,K00549
score_0,K07082
score_0,K01640
score_0,K00874
score_0,K00962
score_0,K02414
score_0,K02358
score_0,K03088
score_0,K06999
score_0,K05351
score_0,K02825
score_0,K09807
score_0,K00261
score_0,K17467
score_0,K16698
score_0,K14170
score_0,K02044
score_0,K11991
score_0,K21473
score_0,K07506
score_0,K01658
score_0,K11924
score_0,K16963
score_0,K07768
score_0,K13922
score_0,K16371
score_0,K01493
score_0,K18471
score_0,K18013
score_0,K16169
score_0,K12206
score_0,K14988
score_0,K02794
score_0,K00275
score_0,K00798
score_0,K03429
score_0,K13818
score_0,K05810
score_0,K03925
score_0,K06211
score_0,K02343
score_0,K03569
score_0,K01756
score_0,K06908
score_0,K02836
score_0,K01889
score_0,K02034
score_0,K04077
score_0,K19002
score_0,K03098
score_0,K01770
score_0,K03641
score_0,K12998
score_0,K03424
score_0,K12292
score_0,K01150
score_0,K05569
score_0,K10530
score_0,K03048
score_0,K04767
score_0,K22579
score_0,K02786
score_0,K06881
score_0,K05772
score_0,K02029
score_0,K02492
score_0,K09761
score_0,K03060
score_0,K05791
score_0,K02455
score_0,K23303
score_0,K01573
score_0,K02304
score_0,K02837
score_0,K01846
score_0,K16898
score_0,K12058
score_0,K19116
score_0,K05825
score_0,K07722
score_0,K12506
score_0,K04061
score_0,K16788
score_0,K07014
score_0,K23149
score_0,K01006
score_0,K17363
score_0,K00663
score_0,K15533
score_0,K20976
score_0,K01869
score_0,K20073
score_0,K18831
score_0,K02190
score_0,K18887
score_0,K22230
score_0,K13927
score_0,K01962
score_0,K00209
score_0,K16213
score_0,K07257
score_0,K12066
score_0,K02874
score_0,K00691
score_0,K03708
score_0,K02053
score_0,K11753
score_0,K01251
score_0,K01358
score_0,K17992
score_0,K15724
score_0,K02274
score_0,K07071
score_0,K03226
score_0,K03179
score_0,K16785
score_0,K02111
score_0,K01730
score_0,K06975
score_0,K18986
score_0,K07445
score_0,K12141
score_0,K12270
score_0,K00031
score_0,K10558
score_0,K21011
score_0,K02990
score_0,K19166
score_0,K07307
score_0,K08969
score_0,K21065
score_0,K13668
score_0,K01092
score_0,K02500
score_0,K09967
score_0,K12556
score_0,K02619
score_0,K02389
score_0,K19126
score_0,K18220
score_0,K01210
score_0,K03976
score_0,K08972
score_0,K09009
score_0,K02409
score_0,K19140
score_0,K01857
score_0,K01420
score_0,K04720
score_0,K12555
score_0,K23003
score_0,K06894
score_0,K15342
score_0,K01845
score_0,K20511
score_0,K04031
score_0,K00355
score_0,K22213
score_0,K03492
score_0,K17898
score_0,K11533
score_0,K02068
score_0,K02563
score_0,K03820
score_0,K18217
score_0,K02017
score_0,K17910
score_0,K01476
score_0,K01499
score_0,K07308
score_0,K09923
score_0,K19997
score_0,K00048
score_0,K01091
score_0,K09935
score_0,K10914
score_0,K01990
