feature,importance_sum,importance_mean,freq_top20,weighted_score,dataset,selected
% CD8+ RO+ CCR6+ d1,0.0579669717414787,0.004830580978456558,4.0,0.09329424198973196,immune,False
% viable CD3+ of total CD3+,0.050362058467099596,0.004196838205591633,5.0,0.09023669514824265,immune,False
% CD4+ RO+ CCR6+ INFg+ IL-17- d1,0.0495229956898689,0.004126916307489075,5.0,0.08873329647186275,immune,False
% CD4+ RO+ INFg+ IL4+ d1,0.04939792860077161,0.004116494050064301,5.0,0.08850920633068389,immune,False
% viable CD3- CCR6- CD161- INFg+ d1,0.0492704743190555,0.004105872859921291,5.0,0.08828083891452539,immune,False
% CD8+ and DN,0.04921143599964369,0.004100952999970308,5.0,0.08817505644667198,immune,False
% CD4+ CCR7+ RO- CD31- CXCR3+ d0,0.053626552393298305,0.004468879366108192,4.0,0.08630860653490793,immune,False
% CD4+ CCR7+ RO- CD31+ CXCR3+ d0,0.047838787982187395,0.003986565665182283,5.0,0.08571560136347754,immune,False
% DN RO- CCR6- INFg- TNFa+ d1,0.0477390866645413,0.003978257222045108,5.0,0.08553696058349063,immune,False
% CD4+ RO+ CCR6+ CD161- d6,0.051152708614251904,0.004262725717854326,4.0,0.0823271085674714,immune,False
% DN d6,0.050868973525642305,0.004239081127136859,4.0,0.08187045455877527,immune,False
% CD8+ M CCR6+ CXCR3- d0,0.05080271321386661,0.0042335594344888846,4.0,0.08176381270091376,immune,False
% CD4+ RO+ CCR6+ INFg+ IL4+ d1,0.049713879963726997,0.004142823330310583,4.0,0.08001140318782023,immune,False
% CD8+ RO+ Va7.2- INFg+ TNFa- d6,0.049452830129561406,0.004121069177463451,4.0,0.07959125968767948,immune,False
% CD4+ RO+ FOXP3+ INFg- d1,0.049321136589304294,0.004110094715775358,4.0,0.07937930711116703,immune,False
CD8+ DN+ MAIT % RO- CD27+ d0,0.04896693018566829,0.004080577515472358,4.0,0.07880923389632831,immune,False
% CD4+ RO+ CCR6+ IL-22+ IL-17- d1,0.048660306869637696,0.004055025572469808,4.0,0.07831574270667241,immune,False
% CD4+ RO- CCR7- d0,0.047890917913440405,0.0039909098261200334,4.0,0.07707745895116039,immune,False
total % CD4+ d6,0.047226944268155595,0.003935578689012966,4.0,0.07600883459358194,immune,False
